timestamp,detections,path,Event ID,Record ID,Computer,User,Logon Type,IP Address,Process Name,Process ID,Interface Index,Source Address,Source Port,Dest Address,Dest Port
2021-04-29T07:56:26.436054+00:00,Network Logon,/evidence/windows-evtx-hayabusa-samples/CredentialAccess/T1558.004_StealOrForgeKerberosTicketsAS-REP-Roasting_Security.evtx,4624,37866,DC-Server-1.labcorp.local,Bob,3,192.168.1.2,,,,,,,
2021-04-29T07:56:26.683296+00:00,Network Logon,/evidence/windows-evtx-hayabusa-samples/CredentialAccess/T1558.004_StealOrForgeKerberosTicketsAS-REP-Roasting_Security.evtx,4624,37869,DC-Server-1.labcorp.local,Bob,3,192.168.1.2,,,,,,,
2021-04-29T07:58:02.652665+00:00,Network Logon,/evidence/windows-evtx-hayabusa-samples/CredentialAccess/T1558.004_StealOrForgeKerberosTicketsAS-REP-Roasting_Security.evtx,4624,37876,DC-Server-1.labcorp.local,DC-SERVER-1$,3,fe80::e50e:b89e:4718:3aa,,,,,,,
2021-04-29T07:58:02.666678+00:00,Network Logon,/evidence/windows-evtx-hayabusa-samples/CredentialAccess/T1558.004_StealOrForgeKerberosTicketsAS-REP-Roasting_Security.evtx,4624,37880,DC-Server-1.labcorp.local,DC-SERVER-1$,3,192.168.1.100,,,,,,,
2021-04-29T07:58:02.761891+00:00,Network Logon,/evidence/windows-evtx-hayabusa-samples/CredentialAccess/T1558.004_StealOrForgeKerberosTicketsAS-REP-Roasting_Security.evtx,4624,37882,DC-Server-1.labcorp.local,DC-SERVER-1$,3,fe80::e50e:b89e:4718:3aa,,,,,,,
2021-04-29T07:58:28.425445+00:00,Network Logon,/evidence/windows-evtx-hayabusa-samples/CredentialAccess/T1558.004_StealOrForgeKerberosTicketsAS-REP-Roasting_Security.evtx,4624,37892,DC-Server-1.labcorp.local,DC-SERVER-1$,3,fe80::e50e:b89e:4718:3aa,,,,,,,
2021-04-29T07:59:42.537523+00:00,Network Logon,/evidence/windows-evtx-hayabusa-samples/CredentialAccess/T1558.004_StealOrForgeKerberosTicketsAS-REP-Roasting_Security.evtx,4624,37898,DC-Server-1.labcorp.local,DC-SERVER-1$,3,fe80::e50e:b89e:4718:3aa,,,,,,,
2021-04-29T07:59:42.545218+00:00,Network Logon,/evidence/windows-evtx-hayabusa-samples/CredentialAccess/T1558.004_StealOrForgeKerberosTicketsAS-REP-Roasting_Security.evtx,4624,37901,DC-Server-1.labcorp.local,DC-SERVER-1$,3,fe80::e50e:b89e:4718:3aa,,,,,,,
2021-04-29T09:23:58.691090+00:00,Network Logon,/evidence/windows-evtx-hayabusa-samples/CredentialAccess/T1558.003_StealOrForgeKerberosTicketsKerberoasting_Security.evtx,4624,38679,DC-Server-1.labcorp.local,Alice,3,192.168.1.200,,,,,,,
2022-02-23T09:44:17.704939+00:00,Network Logon,/evidence/windows-evtx-hayabusa-samples/LateralMovement/T1210_Zerologon_WindowsDefaultLogging.evtx,4624,12138,dc1.test.local,DC1$,3,fe80::7191:d555:270f:4d0b,,,,,,,
2022-02-23T09:44:17.711805+00:00,Network Logon,/evidence/windows-evtx-hayabusa-samples/LateralMovement/T1210_Zerologon_WindowsDefaultLogging.evtx,4624,12142,dc1.test.local,DC1$,3,192.168.20.11,,,,,,,
2022-02-23T09:44:17.815860+00:00,Network Logon,/evidence/windows-evtx-hayabusa-samples/LateralMovement/T1210_Zerologon_WindowsDefaultLogging.evtx,4624,12144,dc1.test.local,DC1$,3,fe80::7191:d555:270f:4d0b,,,,,,,
2022-02-23T09:44:18.529152+00:00,Network Logon,/evidence/windows-evtx-hayabusa-samples/LateralMovement/T1210_Zerologon_WindowsDefaultLogging.evtx,4624,12149,dc1.test.local,DC1$,3,fe80::7191:d555:270f:4d0b,,,,,,,
2022-02-23T09:44:18.530773+00:00,Network Logon,/evidence/windows-evtx-hayabusa-samples/LateralMovement/T1210_Zerologon_WindowsDefaultLogging.evtx,4624,12151,dc1.test.local,DC1$,3,fe80::7191:d555:270f:4d0b,,,,,,,
2022-02-23T09:44:18.536383+00:00,Network Logon,/evidence/windows-evtx-hayabusa-samples/LateralMovement/T1210_Zerologon_WindowsDefaultLogging.evtx,4624,12154,dc1.test.local,DC1$,3,fe80::7191:d555:270f:4d0b,,,,,,,
2022-02-23T10:10:12.152503+00:00,Network Logon,/evidence/windows-evtx-hayabusa-samples/LateralMovement/T1210_Zerologon_WindowsExtraLogging.evtx,4624,12558,dc1.test.local,DC1$,3,fe80::7191:d555:270f:4d0b,,,,,,,
